Predictor variables;THS;FC_2;FC;WP;AWC2;AWC;KS;VG;MVG
USSAND USSILT USCLAY DEPTH_M;PTF01;PTF01;PTF01;PTF01;PTF01;PTF01;PTF01;PTF01;PTF01
USSAND USSILT USCLAY DEPTH_M OC;PTF02;PTF02;PTF02;PTF02;PTF01;PTF02;PTF02;PTF02;PTF02
USSAND USSILT USCLAY DEPTH_M BD;PTF03;PTF03;PTF01;PTF01;PTF01;PTF03;PTF01;PTF03;PTF01
USSAND USSILT USCLAY DEPTH_M CACO3;PTF04;PTF01;PTF01;PTF01;PTF01;PTF01;PTF01;PTF04;PTF04
USSAND USSILT USCLAY DEPTH_M PH_H2O;PTF05;PTF01;PTF01;PTF01;PTF01;PTF01;PTF01;PTF05;PTF05
USSAND USSILT USCLAY DEPTH_M CEC;PTF01;PTF01;PTF06;PTF01;PTF01;PTF01;PTF01;PTF06;PTF06
USSAND USSILT USCLAY DEPTH_M OC BD;PTF03;PTF03;PTF02;PTF02;PTF03;PTF03;PTF02;PTF07;PTF02
USSAND USSILT USCLAY DEPTH_M OC CACO3;PTF02;PTF02;PTF02;PTF02;PTF01;PTF02;PTF02;PTF08;PTF02
USSAND USSILT USCLAY DEPTH_M OC PH_H2O;PTF02;PTF02;PTF02;PTF02;PTF01;PTF02;PTF02;PTF09;PTF02
USSAND USSILT USCLAY DEPTH_M OC CEC;PTF02;PTF06;PTF02;PTF02;PTF01;PTF02;PTF02;PTF10;PTF02
USSAND USSILT USCLAY DEPTH_M BD CACO3;PTF03;PTF03;PTF03;PTF01;PTF01;PTF03;PTF01;PTF11;PTF04
USSAND USSILT USCLAY DEPTH_M BD PH_H2O;PTF03;PTF03;PTF03;PTF01;PTF01;PTF03;PTF05;PTF12;PTF12
USSAND USSILT USCLAY DEPTH_M BD CEC;PTF03;PTF13;PTF06;PTF01;PTF01;PTF03;PTF01;PTF13;PTF13
USSAND USSILT USCLAY DEPTH_M CACO3 PH_H2O;PTF05;PTF05;PTF04;PTF01;PTF01;PTF01;PTF05;PTF14;PTF04
USSAND USSILT USCLAY DEPTH_M CACO3 CEC;PTF04;PTF04;PTF04;PTF01;PTF01;PTF01;PTF01;PTF15;PTF04
USSAND USSILT USCLAY DEPTH_M PH_H2O CEC;PTF05;PTF05;PTF06;PTF01;PTF01;PTF01;PTF01;PTF16;PTF06
USSAND USSILT USCLAY DEPTH_M OC BD CACO3;PTF03;PTF07;PTF02;PTF07;PTF03;PTF03;PTF02;PTF11;PTF02
USSAND USSILT USCLAY DEPTH_M OC BD PH_H2O;PTF03;PTF07;PTF02;PTF07;PTF03;PTF03;PTF02;PTF12;PTF02
USSAND USSILT USCLAY DEPTH_M OC BD CEC;PTF03;PTF13;PTF07;PTF07;PTF03;PTF03;PTF02;PTF13;PTF02
USSAND USSILT USCLAY DEPTH_M OC CACO3 PH_H2O;PTF02;PTF02;PTF02;PTF02;PTF01;PTF02;PTF02;PTF09;PTF20
USSAND USSILT USCLAY DEPTH_M OC CACO3 CEC;PTF02;PTF08;PTF04;PTF08;PTF01;PTF02;PTF02;PTF21;PTF21
USSAND USSILT USCLAY DEPTH_M OC PH_H2O CEC;PTF02;PTF09;PTF09;PTF02;PTF01;PTF02;PTF02;PTF22;PTF02
USSAND USSILT USCLAY DEPTH_M BD CACO3 PH_H2O;PTF03;PTF03;PTF03;PTF01;PTF01;PTF03;PTF05;PTF11;PTF23
USSAND USSILT USCLAY DEPTH_M BD CACO3 CEC;PTF03;PTF11;PTF11;PTF01;PTF01;PTF03;PTF01;PTF24;PTF04
USSAND USSILT USCLAY DEPTH_M BD PH_H2O CEC;PTF03;PTF12;PTF11;PTF01;PTF01;PTF03;PTF05;PTF25;PTF12
USSAND USSILT USCLAY DEPTH_M CACO3 PH_H2O CEC;PTF05;PTF05;PTF14;PTF05;PTF01;PTF01;PTF05;PTF15;PTF04
USSAND USSILT USCLAY DEPTH_M OC BD CACO3 PH_H2O;PTF03;PTF07;PTF02;PTF07;PTF03;PTF03;PTF02;PTF11;PTF27
USSAND USSILT USCLAY DEPTH_M OC BD CACO3 CEC;PTF03;PTF11;PTF07;PTF17;PTF03;PTF03;PTF02;PTF24;PTF28
USSAND USSILT USCLAY DEPTH_M OC BD PH_H2O CEC;PTF03;PTF12;PTF07;PTF07;PTF03;PTF03;PTF02;PTF29;PTF29
USSAND USSILT USCLAY DEPTH_M OC CACO3 PH_H2O CEC;PTF02;PTF09;PTF08;PTF02;PTF01;PTF02;PTF02;PTF21;PTF20
USSAND USSILT USCLAY DEPTH_M BD CACO3 PH_H2O CEC;PTF03;PTF11;PTF06;PTF05;PTF01;PTF03;PTF05;PTF24;PTF12
USSAND USSILT USCLAY DEPTH_M OC BD CACO3 PH_H2O CEC;PTF03;PTF18;PTF07;PTF09;PTF03;PTF03;PTF02;PTF29;PTF27
